timestamp,personas,coordenadas
2025-07-03T15:54:28,8,"[{'x': 791.0, 'y': 932.5}, {'x': 267.5, 'y': 831.5}, {'x': 952.0, 'y': 730.5}, {'x': 587.0, 'y': 690.0}, {'x': 464.0, 'y': 544.0}, {'x': 847.5, 'y': 723.0}, {'x': 442.0, 'y': 325.5}, {'x': 542.5, 'y': 446.0}]"
2025-07-03T15:54:29,9,"[{'x': 770.5, 'y': 885.0}, {'x': 365.0, 'y': 756.0}, {'x': 730.0, 'y': 706.0}, {'x': 1042.0, 'y': 588.5}, {'x': 619.0, 'y': 558.5}, {'x': 430.5, 'y': 508.0}, {'x': 298.0, 'y': 588.0}, {'x': 520.0, 'y': 448.5}, {'x': 1013.5, 'y': 414.5}]"
2025-07-03T15:54:30,12,"[{'x': 765.0, 'y': 869.5}, {'x': 412.5, 'y': 789.5}, {'x': 317.0, 'y': 647.0}, {'x': 1069.5, 'y': 706.5}, {'x': 461.0, 'y': 509.5}, {'x': 720.0, 'y': 548.0}, {'x': 1072.0, 'y': 378.0}, {'x': 856.0, 'y': 453.0}, {'x': 758.0, 'y': 375.5}, {'x': 441.0, 'y': 325.0}, {'x': 1000.5, 'y': 518.0}, {'x': 152.5, 'y': 413.5}]"
2025-07-03T15:54:33,12,"[{'x': 837.0, 'y': 851.5}, {'x': 962.0, 'y': 541.5}, {'x': 768.5, 'y': 548.5}, {'x': 375.0, 'y': 826.0}, {'x': 1181.5, 'y': 707.0}, {'x': 773.5, 'y': 384.5}, {'x': 876.0, 'y': 442.0}, {'x': 441.5, 'y': 325.5}, {'x': 453.0, 'y': 495.0}, {'x': 1086.5, 'y': 381.0}, {'x': 152.5, 'y': 413.5}, {'x': 376.5, 'y': 458.0}]"
2025-07-03T15:54:34,12,"[{'x': 1214.5, 'y': 726.5}, {'x': 845.5, 'y': 852.0}, {'x': 368.5, 'y': 843.5}, {'x': 768.5, 'y': 549.5}, {'x': 961.5, 'y': 540.5}, {'x': 369.0, 'y': 458.0}, {'x': 771.0, 'y': 385.5}, {'x': 441.0, 'y': 325.5}, {'x': 879.5, 'y': 446.0}, {'x': 153.0, 'y': 413.0}, {'x': 1085.5, 'y': 384.5}, {'x': 442.0, 'y': 493.0}]"
2025-07-03T15:59:28,12,"[{'x': 704.0, 'y': 894.5}, {'x': 961.5, 'y': 522.5}, {'x': 1211.5, 'y': 825.5}, {'x': 434.0, 'y': 851.5}, {'x': 850.5, 'y': 513.0}, {'x': 527.5, 'y': 715.5}, {'x': 41.0, 'y': 561.5}, {'x': 436.5, 'y': 326.0}, {'x': 777.5, 'y': 403.5}, {'x': 1140.5, 'y': 577.5}, {'x': 506.5, 'y': 510.0}, {'x': 986.5, 'y': 395.0}]"
2025-07-03T15:59:29,9,"[{'x': 646.0, 'y': 853.0}, {'x': 194.5, 'y': 667.5}, {'x': 1161.0, 'y': 789.5}, {'x': 39.0, 'y': 546.0}, {'x': 439.5, 'y': 324.0}, {'x': 515.0, 'y': 529.0}, {'x': 862.5, 'y': 533.0}, {'x': 498.0, 'y': 741.0}, {'x': 1012.0, 'y': 407.0}]"
2025-07-03T15:59:30,10,"[{'x': 1086.5, 'y': 793.0}, {'x': 449.5, 'y': 820.0}, {'x': 789.5, 'y': 669.5}, {'x': 1089.5, 'y': 564.5}, {'x': 169.5, 'y': 685.0}, {'x': 35.0, 'y': 545.0}, {'x': 558.5, 'y': 518.5}, {'x': 877.0, 'y': 529.5}, {'x': 440.0, 'y': 324.5}, {'x': 741.5, 'y': 556.0}]"
2025-07-03T15:59:31,12,"[{'x': 362.5, 'y': 838.5}, {'x': 933.5, 'y': 807.0}, {'x': 180.5, 'y': 697.0}, {'x': 542.0, 'y': 541.0}, {'x': 1036.5, 'y': 559.5}, {'x': 930.0, 'y': 629.5}, {'x': 37.0, 'y': 545.5}, {'x': 440.0, 'y': 324.5}, {'x': 1015.5, 'y': 371.0}, {'x': 722.0, 'y': 568.0}, {'x': 780.0, 'y': 461.0}, {'x': 563.5, 'y': 427.5}]"
2025-07-03T15:59:32,12,"[{'x': 362.5, 'y': 808.5}, {'x': 835.5, 'y': 836.5}, {'x': 1114.5, 'y': 650.5}, {'x': 227.0, 'y': 683.0}, {'x': 782.5, 'y': 464.5}, {'x': 1070.0, 'y': 458.5}, {'x': 937.0, 'y': 574.5}, {'x': 35.0, 'y': 547.0}, {'x': 467.0, 'y': 542.0}, {'x': 439.0, 'y': 325.0}, {'x': 665.5, 'y': 558.5}, {'x': 994.5, 'y': 391.0}]"
